4500,a person riding a bike on a street,0.5019848
4500,a group of people playing a game of soccer,0.50194836
4501,a person cutting a cake on a table,0.5019504
4502,a group of people standing next to each other,0.5019933
4503,a sandwich and a sandwich on a bun,0.50207615
4504,a large green plant in a garden,0.5019493
4505,a car is parked in a parking lot,0.50204927
4506,a bird is standing on a dirt road,0.5019574
4507,a couple of people playing a game of baseball,0.50197124
4508,a man riding a motorcycle on a street,0.50202966
4509,a person riding a bike on a street,0.5020601
4510,an orange orange orange orange orange orange orange,0.5018656
4511,a small dog playing with a red ball,0.50205743
4512,a cell phone with a cell phone on it,0.50218236
4513,a black car parked in front of a car,0.50197756
4514,a group of people on a sandy beach,0.5019859
4515,a green vase sitting on top of a table,0.5020767
4516,a living room with a couch and a table,0.5019149
4517,a black and white photograph of a black and white photograph of a picture of a picture of a picture,0.5021084
4518,a blender sitting on top of a counter,0.50207156
4519,a man riding a bike down a street,0.5021075
4520,a group of people playing frisbee on a beach,0.5021382
4521,a truck is sitting on top of a truck,0.502021
4522,a dog sitting on the floor next to a dog,0.50203276
4523,a person is holding a pink hair in her hand,0.50211227
4524,a woman is holding a tennis racket on a court,0.50195074
4525,a black couch sitting on top of a couch,0.5020554
4526,a group of people standing next to each other,0.5020205
4527,a close up of a man wearing glasses,0.5020811
4528,a blue car parked in front of a car,0.5019661
4529,a kitchen with a sink and a sink,0.5018612
4530,a blue and white truck parked on a road,0.50200975
4531,a man is playing with a baseball bat,0.50192666
4532,a bottle of wine sitting on top of a table,0.5020269
4533,a group of people sitting in front of a building,0.5020132
4534,a close up of some food on a table,0.5021017
4535,a white and white bird sitting in a field,0.50200653
4536,a woman holding a toothbrush in his hand,0.50211364
4537,a person riding a bike on a bike,0.5019498
4538,a man in the water holding a ball,0.50221276
4539,a man is sitting on a laptop computer,0.5021516
4540,a living room with a couch and a couch,0.5019023
4541,three different donuts on a white plate,0.50203043
4542,a man standing in a kitchen preparing food,0.5019814
4543,a couple of wine glasses on a table,0.50186366
4544,a picture of a picture of a wall,0.5019017
4545,a man on a skateboard doing a trick,0.50212574
4546,a black car is parked in the grass,0.50193995
4547,a wooden suitcase sitting on top of a wooden table,0.5020092
4548,a man is sitting on top of a boat,0.50204366
4549,there is a sign on the side of the street,0.5020674
