a group of people playing a game of soccer,0.9999957
a person cutting a cake on a table,0.9999922
a group of people standing next to each other,0.9999948
a sandwich and a sandwich on a bun,0.9999808
a large green plant in a garden,0.99997586
a car is parked in a parking lot,0.9999958
a bird is standing on a dirt road,0.9999954
a couple of people playing a game of baseball,0.9999957
a man riding a motorcycle on a street,0.99998665
a person riding a bike on a street,0.99998826
an orange orange orange orange orange orange orange,0.058936194
a small dog playing with a red ball,0.99998933
a cell phone with a cell phone on it,0.9999943
a black car parked in front of a car,0.9999949
a group of people on a sandy beach,0.999995
a green vase sitting on top of a table,0.999993
a living room with a couch and a table,0.999994
a black and white photograph of a black and white photograph of a picture of a picture of a picture,0.99999315
a blender sitting on top of a counter,0.9999922
a man riding a bike down a street,0.99999076
a group of people playing frisbee on a beach,0.9999949
a truck is sitting on top of a truck,0.9999949
a dog sitting on the floor next to a dog,0.99999136
a person is holding a pink hair in her hand,0.9999942
a woman is holding a tennis racket on a court,0.99999577
a black couch sitting on top of a couch,0.9999945
a group of people standing next to each other,0.9999948
a close up of a man wearing glasses,0.99999344
a blue car parked in front of a car,0.99999446
a kitchen with a sink and a sink,0.99986774
a blue and white truck parked on a road,0.99999386
a man is playing with a baseball bat,0.99999446
a bottle of wine sitting on top of a table,0.9999953
a group of people sitting in front of a building,0.9999956
a close up of some food on a table,0.9999943
a white and white bird sitting in a field,0.99998933
a woman holding a toothbrush in his hand,0.99999285
a person riding a bike on a bike,0.99998564
a man in the water holding a ball,0.9999939
a man is sitting on a laptop computer,0.99999595
a living room with a couch and a couch,0.9999931
three different donuts on a white plate,0.99999183
a man standing in a kitchen preparing food,0.99998796
a couple of wine glasses on a table,0.9999938
a picture of a picture of a wall,0.99995637
a man on a skateboard doing a trick,0.99997914
a black car is parked in the grass,0.99999595
a wooden suitcase sitting on top of a wooden table,0.999995
a man is sitting on top of a boat,0.9999953
there is a sign on the side of the street,0.9999955
a bird sitting on top of a tree branch,0.9999928
a man with a hat and a hat,0.99995005
a bunch of books and a toothbrush,0.9999942
a group of people standing in front of a red car,0.99999595
a man in a helmet holding a bat,0.99999195
a group of men standing next to each other,0.9999947
a street sign with a traffic light on it,0.99999577
a person on a surfboard in the water,0.9999948
a statue of a statue of an elephant,0.9999918
a close up of a wall with a pair of scissors,0.99999547
a man on a skateboard doing a trick,0.99997914
a man with glasses on a cell phone,0.99999243
a close up of a bottle of water,0.9999948
a bowl of coffee and a cup of coffee,0.999995
a man riding a motorcycle on a motorcycle,0.9999804
a bunch of yellow flowers in a tree,0.99999446
a woman in a blue shirt holding a cell phone,0.99999565
a bowl of carrots and vegetables on a table,0.99999547
a kitchen with a sink and a stove,0.9999338
a woman sitting on top of a white stove,0.9999942
a large brown bear is eating some water,0.9999937
a close up of a sandwich on a plate,0.99999386
a group of people playing a game of frisbee,0.99999505
a woman standing in front of an open refrigerator,0.99999505
